id,title,snippet,type,color,last_cited,cited_in_count,treating_example,total_citations,positive_citations,negative_citations
890303665,"Ammex Warehouse Co. v. Archer, A-10117","justice would be better served by making their judgments fully effective until they are reversed or set aside. Perhaps it would follow that supersedeas should not be allowed at all, or that it would be allowed pending appeal. The temporary order was characterized as being 'absolutely void.' This Court said that: '(T)he injunction was applied for for the purpose of rendering ineffective",document,,,,,72.0,1.0,0.0
892858557,Cook v. Neill,"the county school trustees purported to act are unconstitutional; (D) that the orders were arbitrary, capricious, and were an abuse of discretion because of the facilitiesso far as the Gay Hill District was concerned was void and unenforceable because the area of the Big Spring Independent School District, supra. We do not disturb that principle here, and it would have applied in the present case had there been a",document,,,,,13.0,0.0,0.0
893060265,Ex parte Abell,"County District Court to reconsider its prior orders in light of the new statute. The trial court deniedinvolves the contention of plaintiffs that Abell's collateral attack on the trial court's order isTex.1966). We there held that a judgment of contempt was void because it was predicated on a pre-trial orderthe provisions of article 5561h, effective August 27, 1980, are to be applied to the order of the trial court, dated October",document,,,,,121.0,0.0,0.0
887605203,Crane v. Tunks,"discretion, but I do not agree with the majority's holding that written pleadings are a mandatory prerequisite to an order requiring the production of documents in court where there is no showing that the production of such documents would be unduly expensive or otherwise: (1) whether his father's deed to Mrs. Crane was voidable because it was procured by relator Kelley by",document,red,2021-06-30,145.0,"{'source': {'vid': '888830147', 'title': 'Wal-Mart Stores, Inc. v. Alexander'}, 'target': {'vid': 887605203, 'title': 'Crane v. Tunks'}, 'treating_type': 'Reversed', 'treating_type_desc': 'Stated as Reversed in'}",148.0,0.0,9.0
891569874,Rose v. Doctors Hosp.,"stating that the partial invalidity of a statute voids the remainder when the provisions are so interdependent and connected in subject-matter as to be inseparable: Theconnected in substance. If, when the unconstitutional portion is stricken out, that which remains is complete in itself, and capable of being executedpostponed sales of property under executions or orders of sale, or under deeds of trust, mortgages",document,red,2023-09-26,139.0,"{'source': {'vid': '884735065', 'title': 'Westphal v. Diaz'}, 'target': {'vid': 891569874, 'title': 'Rose v. Doctors Hosp.'}, 'treating_type': 'Superseded by statute', 'treating_type_desc': 'Superseded By Statute in'}",150.0,0.0,2.0
892182865,"Hill v. Mobile Auto Trim, Inc.","ground. This is preferable to fashioning a broad new rule that destabilizes a well settled area of the law. For all court holds the covenant not to compete in the franchise agreement ""void in all respects."" 725 S.W.2d 169. Thus, the court has determinedcourts to grant or deny a temporary injunction, and appellate review of orders, are ""well established and clearly defined."" Sun",document,red,2023-07-27,46.0,"{'source': {'vid': '892972929', 'title': 'Heritage Operating, L.P. v. Rhine Bros., LLC'}, 'target': {'vid': 892182865, 'title': 'Hill v. Mobile Auto Trim, Inc.'}, 'treating_type': 'Superseded by statute', 'treating_type_desc': 'Superseded By Statute in'}",47.0,0.0,5.0
885343118,City of San Antonio v. Texas Water Commission,"governed by the substantial evidence rule, the orders of the Water Rights Commission are presumed to be legal and valid, and the burden is on the party appealing from the Commission's order to show that the orders are not reasonably supported by substantial evidence. Therefore, we must determine if San Antonio has sustained the burden of showing that the orders appealed from were not supported",document,,,,,78.0,0.0,0.0
888812261,Henn v. City of Amarillo,"whether the disputed act should be classified as voidable rather than void. While counsel for respondents are to be Page 76 commended for their industry and resourcefulness, we are constrained to hold that it was not the intention of the Legislature to render orders of the Commissioners Court, setting terms of County Court",document,,,,,12.0,0.0,0.0
891216605,State Bd. of Ins. v. Betts,by this Court it must definitely appear that the questioned orders of the district court are wholly void. If an exercise of discretion by the districtCommissioner. It follows that an order of the court appointing an attorney to assist in liquidation proceedings is not void. Accordingly the application for is denied. --------------- 1 The orders appointing Allred as,document,,,,,45.0,0.0,0.0
890963472,State v. Scott,"strange melange of unauthorized and inconsistent pleadings and orders that it has been difficult to determine what issues were properly before the trial court for decision and are now properly before this court for review. ThisARTICLE 527, UNCONSTITUTIONAL AND VOID.' In this so-called 'motion,' defendantsimposes upon a defendant constructive knowledge that the materials involved are obscene. The United States",document,,,,,24.0,0.0,0.0
891878851,State v. Balli,"square leagues of land. The contentions of the State more specifically are that the proceedings as shown in the expediente disclose a grant, if valid, of only 11.15 leagues of land; that the act to recover the excess over the amount actually granted and that the grant to 11.15 leagues is void for indefiniteness and uncertainty in that there is now no way to identify the land which was intended to be",document,,,,,61.0,0.0,0.0
894355949,Barshop v. Medina County Underground Water Conservation Dist.,", 186 S.W.2d at 963 (considering availability of judicial review in holding that Railroad Commission orders adjusting correlative rights did not violate separation of powers). Under such circumstances, we cannot agree with Plaintiffs' argument that the permits are binding judicial determinations by an agency in violation of the separation of powers doctrine. X Separately",document,,,,,73.0,0.0,0.0
890097958,Ex parte Hooks,"violation of, or to coerce compliance with court orders which fix no definite time for performance of the ordered act or whichto change the well settled law of contempt. Thus the fact that 'The entire sum embodied in the 1961 orderMy second reason for saying that the contempt judgment is void, at least to the extent of its coercive provision, is because whenOn this question the temporary alimony cases are analogous. In Wright v. Wright, 6",document,,,,,7.0,0.0,0.0
886481167,Weidner v. Crowther,"the children of that which remains at the death of the survivor, nor a life estate in the property with an absolute and unlimited power of disposition and with a limitation over to the children of that which remains at the death of the survivor. We are not called upon to decide, therefore, whether the devise to the children would be void or whether it would create an executory interest in the children. See McMurray v. Stanley, 69 Tex. 227, 6 S.W. 412; Edds v",document,,,,,44.0,0.0,0.0
892284696,"Long, In re","the only hearing conducted prior to the date of the trial court's judgment, and there is no evidence in the record that the Clerk continued to charge the sheriff fee after the contempt hearing and until the date of judgment. Thusfines for collecting the sheriff fee from September 29, 1995 through March 15, 1996 are void. * * * We therefore conditionally grant the writ of mandamus without hearing oral argument",document,,,,,90.0,0.0,0.0
891996075,"Ex parte Conway, s. B--163 and B--193","Ford v. State (Tex.Civ.App.) 209 S.W. 490, 491; Hurley v. Buchanan (Tex.Civ.App.) 233 S.W. 590, 594(4).' We accordingly hold that both of the orders for contempt are void and we order the Sheriff of Denton County to release the relators from custody.",document,,,,,13.0,0.0,0.0
887546372,Railroad Commission v. Aluminum Co. of America,"supported by substantial evidence, was therefore null and void and enjoined its enforcement. The in the entire area. The nine other sands are progressively higher and overline the producingwell spacing unit and a 40-acre oil well spacing unit. At that time several town lots or small tract wellswere taken by Alcoa or by anyone else from any of these orders. In fact, the evidence shows that Alcoa",document,,,,,32.0,0.0,0.0
888490101,"Dickason, In re",", the February order granting a new trial is void. 6 Mandamus is appropriate to set aside an order for new trial that is granted after the court's plenary power expires and that is, therefore, void. 7 Because the trial court had no power to grant the new trial, any subsequent retrial would be a nullity. Under these circumstances, Dickason does not have an adequate remedy by appeal and is entitled to",document,yellow,2023-04-27,14.0,"{'source': {'vid': '885541625', 'title': 'In re Brookshire Grocery Co.'}, 'target': {'vid': 888490101, 'title': 'Dickason, In re'}, 'treating_type': 'Distinguished', 'treating_type_desc': 'Distinguished in'}",14.0,0.0,1.0
885683827,Fischer v. Rio Tire Co.,"27 C. J. pp. 878 and 879, the authorities are collated, and the rule as reflected by many persons in whose favor the statute declares a bulk sale fraudulent and void is usually not restricted to any particular class of creditors, but includescreditors of the seller in other transactions."" The evidence shows that Segall was in the tire business and had Spectralite, Inc",document,,,,,31.0,0.0,0.0
894921768,Texas Dept. of Public Safety v. Casselman,", p. 206, Habeas Corpus, § 212, that: 'The inquiry which the courts make in determiningwhether or not an order committing a person for contempt is void, in habeas corpus proceedings, is much broader than in other proceedings where collateral attacks are made on judgments and orders of courts. The court will inquire into the evidence presented",document,,,,,16.0,0.0,0.0
892880429,"Westheimer Independent School Dist. v. Brockette, B-6637","conduct such hearings. Alternate grounds of jurisdiction of the Commissioner are presented by the parties. First, the Commissioner assertsSecond, Houston I.S.D. argues jurisdiction on the grounds that the Commissioner retains the power to rescind void orders. On the first contention, the Commissioner asserts that the refusal of the",document,,,,,61.0,0.0,0.0
892160233,"Alamo Exp., Inc. v. Railroad Commission, A--11012","said application and the certificate issued thereunder shall be void unless the Commission shall set forth in its order full and completeservice.' The sense of the sentence from all of Section 5a(d) is that the words, 'said application' are used for the same purpose as they were used four other5a(c). This Court has previously held that orders which grant certificates to specialized motor carriers",document,,,,,1.0,0.0,0.0
884706840,Laster v. First Huntsville Properties Co.,"The homestead rights addressed in the divorce decree are those established while Richard andproperty impressed with the homestead character was void. The former husband's ability was to establish his own separateestablish his individual homestead, not to destroying that of his former spouse and children. The only authority citedimpressed with homestead character, or on the proceeds if the divorce court orders a sale of the family homestead. 3 Page 135 The",document,,,,,30.0,0.0,0.0
890163287,Ex parte Gorena,"Gorena's second contention is that the trial court's contempt order is void because it is based on a violation of a divorce decree that is indefinite and ambiguous. Page 846 He is correct inknow exactly what duties or obligations are imposed upon him."" Ex parte SlavinW.2d 43 (Tex.1967). The divorce decree in this case orders Mr. Gorena to pay 42.5 percent of his ""gross retirement",document,,,,,8.0,0.0,0.0
892985296,Ex parte Swate,"she was deprived of due process. The commitment order is void. Accordingly, we grant Cox's petition for writagree with the judgment and opinion of the court, but would also hold that the trial court did not have authority to issue the turnover orderit is clear that the statute authorizes turnover orders enforceable by contempt only against the judgmentauthorize a court to issue orders against those who, like Cox, are not judgment debtors or under the judgment debtor's",document,,,,,26.0,0.0,0.0
892020465,State Bar of Tex. v. Heard,"proceeding that it has no right to appeal. That is true of interim and interlocutory orders. Until now it was no basis for this court's intervention. The precedents cited by the majority do not hold that a mandamus will lie for the denial of a summary judgment. They to support the court's grant of the motion for summary judgment. They are State ex rel. Pettit v. Thurmond, 516 S.W",document,,,,,246.0,0.0,0.0
886689671,State ex rel. Dishman v. Gary,"should be removed from office because of official 'misconduct'. Article 5973. We hold that the order purporting to reinstate Cause No. B-77,303 on the docket of the 60th District Court dated June 6, 1962 and the injunctive ancillary orders contained in the decree bearing said date are nugatory and void for the reasons herein set forth and should accordingly be expunged from the records",document,,,,,29.0,0.0,0.0
892006790,Riverside Nat. Bank v. Lewis,"Riverside held Page 177 Lewis' $12,871.80 promissory note, without offering to return it, or marking it void. We believe that this testimony constitutes some evidence that Riverside acted with the requisite mentalP.A. to apply to lenders. (2) The trade practices of lenders are regulated by the Consumer Credit Code, Article 5069-1.01, et seq",document,,,,,325.0,0.0,0.0
894257040,"Bryant v. United Shortline Inc. Assur. Services, N.A.","recognized that full faith and credit applies to receivership orders. See Underwriters Nat'l AssuranceStates Supreme Court concluded that full faith and credit only requires courts.Ct. 1357 n. 10. Thus, if a judgment is void and unenforceable in the rendering state, it void and unenforceable inorder affecting Anchorage's assets that are outside Tennessee. The Liquidator",document,,,,,26.0,0.0,0.0
892598800,Southern Canal Co. v. State Bd. of Water Engineers,", §§ 110, 111. But when the provisions of a statute are so inharmonious and conflicting as to render it have no alternative but to declare it inoperative and void. Hill County v. Sheppard, 142 Texanalysis of Section 13 impels the conclusion that it must be declared void. We recognize that our holding inholding in rate cases to appeals from orders of administrative agencies in other fields",document,,,,,114.0,0.0,0.0
888676592,Texas Antiquities Committee v. Dallas County Community College Dist.,"located on private lands within the State of Texas in areas that have been designated as a ""State Archeological Landmarkof the terms of such permit of, the Antiquities Committee. is unconstitutional and void, and the orders of the Defendants based thereon are unconstitutional and invalid. 2. Plaintiff need not obtain a permit from the Defendants",document,,,,,57.0,0.0,0.0
885661478,Ex parte George,"granted by a court having no jurisdiction of the subject matter is void. Ex parte Twedell, 158 Tex. 214, 309 S.W.2d425. There is in the record ample evidence to support the trial court's finding that a primary purpose of the picketing of the refinery at Texas Citycontroversies involving those activities which are expressly or clearly protected or prohibited, but as",document,red,1972-05-17,5.0,"{'source': {'vid': '894401364', 'title': ""Windward Shipping (London) Limited v. American Radio Ass'n AFL-CIO""}, 'target': {'vid': 885661478, 'title': 'Ex parte George'}, 'treating_type': 'Vacated', 'treating_type_desc': 'Stated as Vacated in'}",5.0,0.0,2.0
891332528,"Weatherford Oil Tool Co. v. Campbell, A-7549","agreement set out therein on the ground that the covenant is void on its face, being an attempt to restrict their employment over theW.2d 76. Petitioner alleged that it is engaged in the business of manufacturingcalled upon customers to solicit orders for and give instruction as to use of equipment sold by the companyof petitioner's plant at Weatherford. There are no allegations indicating",document,,,,,142.0,0.0,0.0
885205504,Gulf Land Co. v. Atlantic Refining Co.,"of this permit contend that it is void because it was granted after the Commissionentered an order denying it. It is true that the Commission has a rule providing that such motionsresponse to the new application. In other words, such former orders did not in any way hamper Page 80 or prevent the Commissionconserve oil and gas is to see that oil and gas fields are drilled in an orderly and scientific manner. In",document,,,,,291.0,0.0,0.0
891371986,"Barber, In re",", and other documents that may not in actuality have the trial judge's approval. Third, and most importantly, the tripartite requirement prevents others from signing orders that are actually contrary to the trial court's decision. In addition, the Court improperly ignores the conflicting evidence in the record in concluding that the trial court abused",document,yellow,2024-10-31,49.0,"{'source': {'vid': '892601710', 'title': ""Izen Jr v. Comm'n For Lawyer Discipline""}, 'target': {'vid': 891371986, 'title': 'Barber, In re'}, 'treating_type': 'Distinguished', 'treating_type_desc': 'Distinguished in'}",49.0,0.0,1.0
892716713,Jones v. Sun Oil Co.,"of annulling and cancelling the orders of the court relating to the guardianship proceedingsrelating to such appointment and sale of the land that the statutes have not been compliedif such sale is attempted to be made, it is void. Neal v. Holt, Tex.Civ.to be void, all purchasers of land thereunder are charged with notice of such vice, and a good title to such land",document,,,,,25.0,0.0,0.0
889437451,"Harrington v. Railroad Commission, s. A-9702","the terms of the drilling permit'; and (3) that the applicant had 'failed to show the use of diligence in the reasons (1) and (2) seem to indicate, the basis for the Commission's orders is punishment of appellant for violating the terms of his adjoining tracts or leases, the orders are void for want of power in the Commission so to punish. The Legislature",document,,,,,34.0,0.0,0.0
889536980,Cook v. Spears,"Page 292 discretion. There was a limited right to a trial on appeal and that right was exhausted ten days after November 1, 1974which occurred after ten days from November 1, 1974, were void because the right to a trial on appeal was lost. See Texas Liquormandamus ordering the trial court to set aside its orders for continuance and discovery are denied, because those matters are now immaterial. The",document,red,2002-07-03,12.0,"{'source': {'vid': '893045830', 'title': ""Garza v. Texas Alcoholic Beverage Com'n""}, 'target': {'vid': 889536980, 'title': 'Cook v. Spears'}, 'treating_type': 'Overruled', 'treating_type_desc': 'Overruled in'}",12.0,0.0,1.0
887708098,Ex parte Jones,"See Ex Parte La Rocca, supra. Relator takes the position that the contempt orders of the District Court of Panola County, dated December 19, 1961, February 20, 1962, and the order of commitment dated March 16, 1962, are void for the reason that the contractual provisions contained in the September 14, 1961 divorce decree cannot be",document,red,2021-02-26,48.0,"{'source': {'vid': '891370005', 'title': 'Canadian River Mun. Water Auth. v. Hayhook, Ltd.'}, 'target': {'vid': 887708098, 'title': 'Ex parte Jones'}, 'treating_type': 'Overruled', 'treating_type_desc': 'Stated as Overruled in'}",48.0,0.0,2.0
885826489,Texas & N. O. R. Co. v. Railroad Commission,"proof shall rest upon the plaintiff to show the rates, regulations, orders, classifications, acts or charges complained of are unreasonable and unjust to it or them:' 'The codifiers of the 1925 revisiongoverning in ordinary civil cases.' The carriers contend also that this order is void because the Commission made no finding that the old rate was '* * * unjust, unreasonable, discriminatory",document,,,,,15.0,0.0,0.0
892923445,Poole v. Giles,"Article 5421c-5 relate to the powers of the School Land Board, and how its orders may be reviewed by the courts. A comparison of the articles relatingLand Board shows a similarity of purpose. The majority opinion, after holding that this case is moot and dismissing same, states that petitioners are not without a remedy, and cites them to Article 5421c. That is a very",document,,,,,15.0,0.0,0.0
892521573,"Ex parte Slavin, A--11821","order. The reasons for certainty in such an order are similar to those required of the order which one iswhere, as in the instant case, the order does not state that the commitment is until the defendant shall do or perform certain acts in compliance with the orders of the court, but simply states in indefinite language that he is committedpurges himself of contempt, the order is too indefinite, and is void.' In Ex parte Duncan, 42 Tex.Crim",document,,,,,108.0,0.0,0.0
891428625,Texas Co. v. State,"cannot recognize the statement in the Zweifel case as binding authority for abandoning the rule of the Watkins case. Many cases from other jurisdictions are cited for the proposition that the allowance of interest as damages is discretionary with the trial court, particularly in equity actions. No Texas cases in point are among those cited. Jones v. Mitchell",document,,,,,107.0,0.0,0.0
891113444,City of Fort Worth v. Gulf Refining Co.,"by the authority cited: ""Ordinances imposing license taxes under the power to regulate are prima facie valid, and the unreasonableness of the exactions must be made clearly tomust be obviously and largely beyond what is needed for the purpose intended, before such legislation will be declared void. The fact that the exaction may result in producing a revenue in excess of that required for regulation, does",document,,,,,45.0,0.0,0.0
891948961,Fry v. Tucker,"tried? If so, any judgment rendered by him was absolutely void, and not binding on the parties involved. Litigants are entitled to have their cases tried by a judge qualified under the law, so that not even the slightest suspicion might attach to his actionsCherokee County, brought there by certiorari and appeal from three separate orders of the probate court, two of them relating to the appointment",document,,,,,32.0,0.0,0.0
887967797,Ex parte Sentell,"of this failure the order should be held to be void. If a contempt order may rest upon pure conclusionsexceptions. We cannot escape the conclusion that the unjudicial conduct of the court climaxed by thejudicial, and not personal,-and the relations of court and attorney are correlative. Courts may, will and should enforce judicial are bound and will Page 375 be held to obey legal orders of courts, yet the court should invoke its judicial",document,,,,,6.0,0.0,0.0
893751671,"Blum v. Lanier, 070199","amended his pleadings to include a contest of that election. We are further advised that the trial court has indicated by letter that it will sustain review"" doctrine applies here. If the trial court orders a new charter amendment election, as it has indicated it will57, 59 (Tex. 1949)(district court is without authority to enjoin even a void election); Ex parte Barrett, 37 S.W.2d 741, 742",document,,,,,98.0,0.0,0.0
892928060,Graser v. Graser,"case: ""Clearly, the contract would have been void or voidable as to any children of Mr. Johnson. Butin such manner as they see fit, without regard to ""the legal orders of descent"" and even to the extent of disinheriting children, it would seem to be a legitimate inference that Art. 4610 is designed to apply todescent"" as regards Henry and Ernest, who are here vigorously complaining",document,red,1987-08-19,29.0,"{'source': {'vid': '894110331', 'title': 'Prudential Petroleum Corp. v. Rauscher, Pierce & Co.'}, 'target': {'vid': 892928060, 'title': 'Graser v. Graser'}, 'treating_type': 'Reversed', 'treating_type_desc': 'Stated as Reversed in'}",29.0,0.0,1.0
886368928,Alpha Petroleum Co. v. Terrell,"party. We quote the following from that opinion: ""We take it that the statutes above quoted mean what they say. It is not contended that the orders of the Railroad Commission here collaterally attacked are void on their faces, or that the Railroad Commission was without inherent lawful jurisdiction to act in the premises. If such contentions were made",document,red,2022-06-17,94.0,"{'source': {'vid': '917003303', 'title': 'S.C. v. M.B.'}, 'target': {'vid': 886368928, 'title': 'Alpha Petroleum Co. v. Terrell'}, 'treating_type': 'Abrogated', 'treating_type_desc': 'Stated as Abrogated in'}",98.0,0.0,1.0
888863206,Ex Parte Scott,"the wife before a notary who is her attorney in the case, the affidavit is void, and therefore the complaint or information stands before the court unsworn to. Generally speaking, contempt proceedings are criminal in their nature, and this is true regardless of whether they grow outcivil actions. The reason for such classification is that they involve the essential idea of willful disobedience of judicial orders and decrees. Since contempt proceedings are essentially",document,,,,,124.0,0.0,0.0
886093143,Lewis v. Jacksonville Build. & Loan Ass'n,"days after the hearing is finally closed, becoles voidable upon appeal. The rule contains no wordthe hearing. No legal consequences are spelled out for the failure of the Commissioner45 day provision of the Rule 1.9 is directory, and that the failure of the Commissioner to render a decisiona sufficient volume of business to indicate a profitable operation. Orders of the Savings and Loan Commissioner",document,,,,,124.0,0.0,0.0
892881379,Gulf Oil Corp. v. Reid,", supra, the express provisions in the royalty deeds in each of the cases are controlling and take them out of the category of cases I contend to be herein expressed. Each deed contained a positive, unequivocal statement that in the absence of production on the critical date this grant shall become null and void, and the minerals hereby conveyed shall revert to the said grantor",document,,,,,80.0,0.0,0.0
892335183,Estate of Pollack v. McMurrey,"Estate of Pewthers, to determine that such a judgment would be void. 443 S.W.2d at 395. The Pewthers court . 148, 327 S.W.2d 428, 433, in which this Court held that, because of a conflict with the rules of procedure, the rendition of a defaultconstitute fundamental error, however, and therefore, will not constitute grounds for reversal when they are raised for the first time on appeal. See, e.g., Central",document,,,,,104.0,0.0,0.0
891789841,Blair v. State,"POPE, Justice. Two questions are presented by this appeal, whether a judgment byDistrict Court of Travis County that the Hopson estate owed the State of Texas for unpaid taxes was wholly void and subject to collateral attack in the county court and whether the to the probate court for classification and then paid through orders of the probate court. Tobolowsky v. Eastwood",document,,,,,14.0,0.0,0.0
886082852,Terrazas v. Ramirez,"circumstances, including in the event the judgments below are set aside as we order today. The Governor, asthe federal courts. Under our constitution, that is her choice alone. * * * * * * In conclusion, under the factscourt's judgment based on such ostensible agreement is void. For these reasons, I would conditionallyto vacate the agreed judgment Page 739 that orders the implementation of new senatorial districts",document,,,,,24.0,0.0,0.0
894108238,Key Western Life Ins. Co. v. State Bd. of Ins.,"and those not so entitled, is unconstitutional and void.' The present case does not fall within the prohibition of the Shell case, supra. We hold that Article 3.42 in this regard is constitutional. Thes contention that appeals to the district court from orders of the State Board of Insurance and the Commissioner of Insurance are to be determined by the preponderance of the evidence rule in a trial",document,,,,,117.0,0.0,0.0
891870138,Rekdahl v. Long,"at all, at Aramis' death. Under this construction all remaindermen are ascertained and their interests vest, if at all, upon the death of aperiod allowed by the rule. Petitioners' final argument is that the language of paragraph of demonstrates an intent that no interestconstruction of 'vest in interest' is inconsistent with the prior language of the will which orders income paid out and allows invasion of the corpus at the discretion of the",document,,,,,32.0,0.0,0.0
892397386,Portland Gasoline Co. v. Superior Marketing Co.,"to buy all of the 'dry groceries' from Wooten, and 'to discontinue specialty orders' from all other suppliers during the period of one year, or so long asTex. 5, 175 S.W.2d 230, loc. cit. 234, this court held: 'We think that the contract provisions, as above detailed by us, on their faces, do not violaterestraint of trade. The judgments of both courts below are hereby reversed, and this cause is remanded to the trial",document,red,2016-11-10,43.0,"{'source': {'vid': '891687250', 'title': ""Greater Hous. Radiation Oncology, P.A. v. Sadler Clinic Ass'n, P.A.""}, 'target': {'vid': 892397386, 'title': 'Portland Gasoline Co. v. Superior Marketing Co.'}, 'treating_type': 'Overruled', 'treating_type_desc': 'Stated as Overruled in'}",43.0,0.0,6.0
884862425,Lone Star Cement Corp. v. Fair,"court conducted a hearing on August 7, 1969 to determine what orders or judgments had been rendered on June 10having heard the evidence and the arguments of counsel,' found 'that in truth and in fact the defendant, B. W. Rush, filedEntry of a judgment theretofore rendered and was unauthorized and void. We made an identical holding with respect to an effort to correct an error made",document,,,,,138.0,0.0,0.0
885441164,Auto Convoy Co. v. Railroad Commission of Texas,"whether the contested order is reasonably supported by substantial evidence. In appeals, the burden is upon the complaining parties to show an absence of substantial evidence and that the orders are unreasonable and unjust to them. Sec. 20, Art. 911b, V.A.C.S.; Alamo Express v. Union City Transfer, Supra. Where there is substantial evidence which",document,,,,,61.0,0.0,0.0
890505665,Ex parte Lillard,"Judgments (5th Ed.) vol. 2, §§ 660, 662. This does not militate against our conclusion that, once the necessary facts are pleaded and admitted or proven, or shown by the undisputed record, as in this case, the subsequent suit is abated and its orders void for want of jurisdiction.' Ordinarily the remedy for the erroneous overruling of a plea of",document,,,,,13.0,0.0,0.0
887471167,Knox v. Long,"particular case' thereby. Certainly he was conscious that the decree listed many cases and stated the dismissal of every one so listed.) The mere fact that the decree was a writing and that all entries are writings, obviously does not mean that the decree is presumptively only an entry of some previous rendition. Certainly there is nothing impossible, or even improbable, about a judge at one moment rendering an oral dismissal",document,red,2024-05-03,34.0,"{'source': {'vid': '886271208', 'title': 'Grace v. Titanium Electrode Products, Inc.'}, 'target': {'vid': 887471167, 'title': 'Knox v. Long'}, 'treating_type': 'Reversed', 'treating_type_desc': 'Stated as Reversed in'}",34.0,0.0,13.0
